Date,Hacienda,SCWA Diversion,Dry Creek Mouth,Healdsburg,Cloverdale,Hopland,Millview,Lake Mendocino,Calpella
Jun-99,-318480.7594,-317149.9706,-4965.677368,-43396.77886,-21427.77419,-20006.84163,-6765.084363,-189.5238275,-171.3466537
Jul-99,-379472.2616,-378183.8557,-4805.494227,-48695.1344,-27114.5832,-25664.013,-7796.943701,-261.2886069,-235.009231
Aug-99,-340603.9318,-339500.237,-4805.494227,-46416.34559,-25195.25832,-23426.28488,-7073.809564,-232.6507723,-206.1424401
Sep-99,-296536.0185,-295399.3196,-2387.824432,-39230.36911,-23877.61864,-22049.67943,-6822.825529,-254.2590445,-213.0138547
Oct-99,-267789.0332,-266829.3482,-2260.136445,-28326.33335,-14656.7104,-13558.25256,-5501.576613,-200.2253702,-169.7452551
Nov-99,-175134.5142,-174155.4911,-195.5559187,-15352.2644,-8491.307797,-7663.934164,-3477.212065,-93.08015209,-89.78306012
Dec-99,-164081.9668,-163118.8722,-161.2554461,-13648.15024,-7594.798025,-6724.436579,-3149.66068,-109.385119,-102.8668872
Jan-00,-163995.0562,-163031.9615,-160.6921815,-14777.64914,-8922.324523,-8051.963077,-2995.137468,-114.9973074,-108.4790757
Feb-00,-160260.3343,-159243.6373,-176.7044997,-14893.81246,-8845.815507,-8043.368817,-2944.103111,-94.97263113,-91.56184633
Mar-00,-255174.0344,-254256.1448,-189.2476633,-15778.94984,-8978.942961,-8202.630499,-3256.061565,-90.07756654,-86.88683237
Apr-00,-239543.4459,-238516.4378,-1316.428255,-21490.95974,-10909.31698,-9769.578629,-4284.487721,-134.1872509,-126.2613232
May-00,-251672.522,-250588.9286,-2403.780114,-26888.34029,-12484.5569,-11386.09906,-5101.2435,-122.7905959,-92.3104808
Jun-00,-338287.2204,-337268.1007,-4466.453063,-48729.88764,-24493.22598,-22994.30345,-7531.92869,-270.2348154,-242.8428721
Jul-00,-352374.6878,-351388.443,-5027.082145,-52280.82556,-26879.45185,-25428.88165,-8128.111975,-261.2886069,-235.009231
Aug-00,-358589.1349,-357578.1051,-5067.026604,-53713.67578,-28088.34337,-26426.13908,-8603.145018,-246.0571399,-206.1424401
Sep-00,-318879.5479,-316822.4285,-4566.550376,-46586.61841,-23285.63456,-21786.71202,-7017.296343,-282.8090077,-255.6536526
Oct-00,-248617.3235,-247155.7397,-3053.624308,-31007.66862,-14244.14505,-13160.14102,-5502.395588,-182.298117,-164.8967479
Nov-00,-175046.0096,-173700.2467,-172.3045031,-16561.14979,-10261.27677,-9461.81461,-3491.834166,-75.56801327,-68.83250713
Dec-00,-163374.375,-162072.0238,-167.4261276,-14994.51116,-9096.554352,-8226.192906,-3161.011464,-114.9973074,-108.4790757
Jan-01,-190167.4669,-188790.5387,-165.1052797,-18048.42346,-12416.72998,-11595.20771,-3234.08019,-109.385119,-102.8668872
Feb-01,-171848.3054,-170323.8492,-184.6119676,-20225.79049,-14420.90696,-13457.2925,-3306.571008,-121.1049531,-113.8883394
Mar-01,-180911.8611,-179533.7367,-194.0545381,-15518.50755,-9142.42074,-8341.736578,-3496.827,-114.9349173,-107.2646648
Apr-01,-218444.9671,-217035.1171,-327.3171603,-18297.77374,-10800.66739,-9998.477849,-4274.396246,-101.4917144,-98.19462238
May-01,-318979.4289,-317200.8634,-3415.118943,-38835.46085,-20284.51187,-18959.9606,-6473.228498,-311.8599391,-294.2691257
Jun-01,-365974.0649,-363677.717,-4851.679752,-52882.08999,-25568.14041,-24199.43742,-7359.897737,-197.7551743,-179.5780005
Jul-01,-364057.0561,-362278.4906,-5258.427476,-55671.24135,-28023.00171,-26360.79742,-7727.3628,-246.0571399,-206.1424401
Aug-01,-359751.3449,-357529.0728,-4681.614825,-55276.47734,-28869.34896,-27216.25811,-7987.877582,-235.154725,-195.2400252
Sep-01,-318677.3116,-316839.4607,-4557.825345,-49231.49118,-23984.13651,-22485.21397,-6794.153733,-248.4538456,-221.2984905
Oct-01,-282170.2336,-280414.6111,-4308.685438,-40842.48072,-18262.15216,-17163.69432,-5651.174973,-183.0025479,-165.8193422
