Link Name,iseg,Diversion,ResRelease,AssocRes,AgDem,AssocDem
348_DWS_576,576,1,0,,1,576
341_DWS_577,577,1,0,,1,577
344_DWS_578,578,1,0,,1,578
338_DWS_579,579,1,0,,1,579
330_DWS_580,580,1,0,,1,580
321_DWS_581,581,1,0,,1,581
292_DWS_582,582,1,0,,1,582
320_DWS_583,583,1,0,,1,583
289_DWS_584,584,1,0,,0,
286_DWS_585,585,1,0,,1,585
281_DWS_586,586,1,0,,1,586
288_DWS_587,587,1,0,,0,
273_DWS_588,588,1,0,,1,588
265_DWS_589,589,1,0,,1,589
196_DWS_590,590,1,0,,1,590
199_DWS_591,591,1,0,,1,591
210_DWS_592,592,1,0,,1,592
223_DWS_593,593,1,0,,0,
228_DWS_594,594,1,0,,1,594
244_DWS_595,595,1,0,,1,595
254_DWS_596,596,1,0,,1,596
250_DWS_597,597,1,0,,0,
243_DWS_598,598,1,0,,0,
252_DWS_599,599,1,0,,1,599
257_DWS_600,600,1,0,,0,
262_DWS_601,601,1,0,,1,601
264_DWS_602,602,1,0,,0,
270_DWS_603,603,1,0,,1,603
275_DWS_604,604,1,0,,0,
278_DWS_605,605,1,0,,1,605
282_DWS_606,606,1,0,,1,606
295_DWS_607,607,1,0,,0,
296_DWS_608,608,1,0,,1,608
309_DWS_609,609,1,0,,1,609
314_DWS_610,610,1,0,,0,
315_DWS_611,611,1,0,,0,
308_DWS_612,612,1,0,,1,612
318_DWS_613,613,1,0,,1,613
263_DWS_614,614,1,0,,1,614
266_DWS_615,615,1,0,,1,615
267_DWS_616,616,1,0,,0,
272_DWS_617,617,1,0,,1,617
284_DWS_618,618,1,0,,1,618
300_DWS_619,619,1,0,,1,619
293_DWS_620,620,1,0,,1,620
316_DWS_621,621,1,0,,1,621
323_DWS_622,622,1,0,,1,622
319_DWS_623,623,1,0,,0,
332_DWS_624,624,1,0,,1,624
339_DWS_625,625,1,0,,1,625
335_DWS_626,626,1,0,,1,626
377_DWS_627,627,1,0,,1,627
327_DWS_628,628,1,0,,1,628
336_DWS_629,629,1,0,,1,629
352_DWS_630,630,1,0,,1,630
324_DWS_631,631,1,0,,0,
355_DWS_632,632,1,0,,1,632
310_DWS_633,633,1,0,,1,633
366_DWS_634,634,1,0,,1,634
413_DWS_635,635,1,0,,1,635
422_DWS_636,636,1,0,,1,636
406_DWS_637,637,1,0,,1,637
404_DWS_638,638,1,0,,1,638
426_DWS_639,639,1,0,,1,639
379_DWS_640,640,1,0,,1,640
238_DWS_641,641,1,0,,1,641
362_DWS_642,642,1,0,,1,642
417_DWS_643,643,1,0,,0,
409_DWS_644,644,1,0,,0,
395_DWS_645,645,1,0,,0,
398_DWS_646,646,1,0,,0,
376_DWS_647,647,1,0,,0,
378_DWS_648,648,1,0,,0,
365_DWS_649,649,1,0,,0,
350_DWS_650,650,1,0,,0,
356_DWS_651,651,1,0,,0,
475_DWS_652,652,1,0,,0,
342_DWS_653,653,1,0,,0,
322_DWS_654,654,1,0,,0,
313_DWS_655,655,1,0,,0,
469_DWS_656,656,1,0,,0,
287_DWS_657,657,1,0,,0,
302_DWS_658,658,1,0,,0,
259_DWS_659,659,1,0,,0,
245_DWS_660,660,1,0,,0,
247_DWS_661,661,1,0,,0,
246_DWS_662,662,1,0,,0,
219_DWS_663,663,1,0,,0,
220_DWS_664,664,1,0,,0,
205_DWS_665,665,1,0,,0,
197_DWS_666,666,1,0,,0,
180_DWS_667,667,1,0,,0,
181_DWS_668,668,1,0,,0,
182_DWS_669,669,1,0,,0,
176_DWS_670,670,1,0,,0,
168_DWS_671,671,1,0,,0,
149_DWS_672,672,1,0,,0,
121_DWS_673,673,1,0,,0,
113_DWS_674,674,1,0,,0,
91_DWS_675,675,1,0,,0,
46_DWS_676,676,1,0,,0,
460_DWS_677,677,1,0,,0,
33_DWS_678,678,1,0,,0,
24_DWS_679,679,1,0,,0,
9_DWS_680,680,1,0,,0,
12_DWS_681,681,1,0,,0,
215_DWS_682,682,1,0,,0,
416_DWS_683,683,1,0,,0,
407_DWS_684,684,1,0,,0,
371_DWS_685,685,1,0,,0,
436_DWS_686,686,1,0,,0,
687_408,687,0,0,,0,
688_408,688,0,0,,0,
689_689,689,0,0,,0,
