obsnme,simval,obsval,weight,obgnme,comments
gflo_19,-999.0,-999.0,1.0,GgFlo,RUSSIAN_R_JOHNSONS_BEACH_GUERNEVILLE
gflo_20,377190.0,375101.7284,1.0,GgFlo,AUSTIN_C_NR_CAZADERO
bsflo_1,0.11971622614437097,12441.86837,1.0,Basflo,RUSSIAN_R_NR_UKIAH
bsflo_2,0.13940037988174442,-70390.67569,1.0,Basflo,EF_RUSSIAN_R_NR_CALPELLA
bsflo_3,-999.0,33394.56613,1.0,Basflo,EF_RUSSIAN_R_NR_UKIAH
bsflo_4,-999.0,-999.0,1.0,Basflo,RUSSIAN_R_NR_TALMAG
bsflo_5,0.16002575340164235,-100085.7531,1.0,Basflo,RUSSIAN_R_NR_HOPLAND
bsflo_6,0.11280026385945786,14019.63625,1.0,Basflo,RUSSIAN_R_NR_CLOVERDALE
bsflo_7,-999.0,-999.0,1.0,Basflo,BIG_SULPHUR_C_A_G_RESORT_NR_CLOVERDALE
bsflo_8,-999.0,-999.0,1.0,Basflo,BIG_SULPHUR_C_NR_CLOVERDALE
bsflo_9,-999.0,-999.0,1.0,Basflo,RUSSIAN_R_GEYSERVILLE
bsflo_10,-999.0,-999.0,1.0,Basflo,RUSSIAN_R_JIMTOWN
bsflo_11,-999.0,-999.0,1.0,Basflo,MAACAMA_C_NR_KELLOGG
bsflo_12,-999.0,-999.0,1.0,Basflo,RUSSIAN_R_DIGGER_BEND_NR_HEALDSBURG
bsflo_13,0.09352813858558079,-10085.0959,1.0,Basflo,RUSSIAN_R_NR_HEALDSBURG
bsflo_14,-999.0,-999.0,1.0,Basflo,DRY_C_NR_GEYSERVILLE
bsflo_15,-999.0,-999.0,1.0,Basflo,DRY_C_BLW_LAMBERT_BR_NR_GEYSERVILLE
bsflo_16,-0.039759121566885464,-21181.23112,1.0,Basflo,DRY_C_NR_MOUTH_NR_HEALDSBURG
bsflo_17,-999.0,-999.0,1.0,Basflo,RUSSIAN_R_NR_WINDSOR
bsflo_18,1.2624185239016856,-925511.3711,1.0,Basflo,RUSSIAN_R_NR_GUERNEVILLE
bsflo_19,-999.0,-999.0,1.0,Basflo,RUSSIAN_R_JOHNSONS_BEACH_GUERNEVILLE
bsflo_20,0.12289639341952471,-999.0,1.0,Basflo,AUSTIN_C_NR_CAZADERO
pmpchg,41823.12429176299,0.0,1.0,PmpCHG,# Total pump change
