,obsname,well_id,num_meas,min,max,mean,std,median,grid_top_elev,grid_bot_elev,layer,row,col
92,HO_92,013N011W15M006M,2,153.5300381035156,159.7144301035156,156.6222341035156,3.0921960000000013,156.6222341035156,189.85000610351562,107.65000915527344,2,156,95
93,HO_93,013N011W15M003M,7,150.6252941035156,155.78860610351563,152.27731010351562,1.556672672050417,151.87497410351563,189.85000610351562,107.65000915527344,2,156,95
94,HO_94,013N012W28B001M,1,190.05807267578126,190.05807267578126,190.05807267578126,0.0,190.05807267578126,190.17999267578125,115.17999267578125,2,164,93
95,HO_95,013N011W21L002M,2,162.3686448828125,163.4933568828125,162.9310008828125,0.5623559999999941,162.9310008828125,165.6300048828125,95.6300048828125,1,160,91
96,HO_96,013N011W21L003M,1,113.1434448828125,113.1434448828125,113.1434448828125,0.0,113.1434448828125,165.6300048828125,95.6300048828125,0,160,91
97,HO_97,389812N1230889W001,30,157.74444732421875,158.52168732421876,158.12920652421872,0.25672253339852913,158.07972732421874,160.32000732421875,-2.67999267578125,1,156,87
98,HO_98,014N012W23G001M,2,152.9462387138672,153.0224387138672,152.9843387138672,0.03810000000000002,152.9843387138672,158.7100067138672,68.71000671386719,0,128,72
99,HO_99,014N012W14F001M,2,163.2044818310547,166.46279383105468,164.8336378310547,1.6291559999999947,164.8336378310547,173.0800018310547,93.08000183105469,0,122,69
100,HO_100,015N012W35D003M,2,189.44474766210936,191.28573966210936,190.36524366210938,0.920496,190.36524366210938,194.16000366210938,-28.7399959564209,1,104,67
101,HO_101,014N012W09A002M,1,158.74673850683592,158.74673850683592,158.74673850683592,0.0,158.74673850683592,166.50999450683594,11.209994316101074,1,115,62
102,HO_102,014N012W09A003M,1,160.16101050683594,160.16101050683594,160.16101050683594,0.0,160.16101050683594,166.50999450683594,11.209994316101074,1,115,62
103,HO_103,015N012W21C001M,1,175.49648305175782,175.49648305175782,175.49648305175782,0.0,175.49648305175782,180.8000030517578,63.60000228881836,0,93,59
104,HO_104,391031N1231649W001,3,168.7258172861328,172.5083852861328,170.15228128613282,1.678318218903672,169.2226412861328,180.0399932861328,8.73999309539795,1,111,66
105,HO_105,391046N1231647W001,2,167.2109612861328,169.8566252861328,168.5337932861328,1.3228320000000053,168.5337932861328,180.0399932861328,8.73999309539795,1,111,66
106,HO_106,391086N1231710W001,2,165.8520848828125,167.0682368828125,166.4601608828125,0.608075999999997,166.4601608828125,175.8800048828125,-72.0199966430664,1,109,64
107,HO_107,391096N1231677W001,50,166.67143450683594,174.90103450683594,170.01630970683593,2.5656325951111856,168.91171450683595,178.00999450683594,-34.89000701904297,0,109,65
108,HO_108,391225N1231852W001,2,170.25666955859376,171.34480555859375,170.80073755859377,0.5440679999999958,170.80073755859377,176.30999755859375,-50.4900016784668,0,104,60
109,HO_109,391246N1231827W001,2,171.21560189648437,172.45308989648439,171.83434589648436,0.6187440000000066,171.83434589648436,177.39999389648438,10.799993515014648,0,103,61
110,HO_110,391252N1231822W001,3,170.31034589648436,171.6026978964844,170.79142189648437,0.5769560659045103,170.46122189648437,177.39999389648438,10.799993515014648,0,103,61
111,HO_111,391304N1231929W001,1,170.69769844140626,170.69769844140626,170.69769844140626,0.0,170.69769844140626,176.94000244140625,-48.3599967956543,1,101,58
112,HO_112,391334N1231885W001,2,171.12186772753907,171.61259572753906,171.36723172753906,0.24536399999999503,171.36723172753906,177.47999572753906,1.3799957036972046,0,100,59
113,HO_113,391409N1231982W001,3,168.22960061035155,169.44880061035155,168.68680061035155,0.5423955752031909,168.38200061035155,182.86000061035156,-34.63999938964844,0,97,56
114,HO_114,391322N1231929W001,4,168.01788061035157,174.31809661035157,171.77111161035154,2.3077107726513315,172.37423461035155,177.36000061035156,-30.139999389648438,0,100,58
115,HO_115,013N011W15B002M,2,245.21453050683593,245.83937050683593,245.52695050683593,0.31242000000000303,245.52695050683593,246.25999450683594,171.25999450683594,1,152,98
116,HO_116,013N011W15B004M,19,235.2326529482422,237.1772769482422,236.4962895798211,0.4517737114511408,236.5768209482422,243.6999969482422,168.6999969482422,2,152,97
117,HO_117,013N011W15B003M,21,234.84555694824218,238.7012769482422,237.630267805385,0.8740317510014712,237.9636609482422,243.6999969482422,168.6999969482422,2,152,97
118,HO_118,013N011W15C002M,2,217.99781044140624,218.08315444140624,218.04048244140625,0.042671999999996046,218.04048244140625,229.44000244140625,146.3493194580078,1,153,97
119,HO_119,013N011W15C001M,2,236.5920609482422,237.01878094824218,236.8054209482422,0.21335999999999444,236.8054209482422,243.6999969482422,168.6999969482422,2,152,97
120,HO_120,013N011W09E1M,5,250.07071267578124,250.89062467578125,250.56083107578124,0.2843076632281347,250.60411267578124,251.92999267578125,176.92999267578125,0,149,89
121,HO_121,013N011W08B1M,7,230.87688989648439,233.31224189648438,231.94368989648436,0.8405046032133608,232.03817789648437,235.89999389648438,153.6999969482422,1,147,87
122,HO_122,016N012W15B001M,3,311.06689044140626,312.06358644140624,311.5606664414062,0.4069508067371232,311.55152244140623,318.44000244140625,94.34000396728516,1,58,63
123,HO_123,016N012W15B002M,3,228.59095267578124,229.74614467578124,229.14568867578123,0.4727119475367634,229.09996867578124,285.67999267578125,37.8799934387207,1,58,62
124,HO_124,016N012W03C001M,8,256.01583945507815,259.91423145507815,257.82406545507814,1.4848693795037926,257.78367945507813,271.7099914550781,196.70999145507812,2,46,61
125,HO_125,016N012W15C001M,9,273.7445987792969,285.27518277929687,275.66145211263023,3.4374679345810426,274.8205427792969,290.2799987792969,32.279998779296875,1,57,61
126,HO_126,016N012W04K001M,3,234.89957477929687,235.04587877929688,234.9757747792969,0.05988369848298242,234.98187077929688,237.52999877929688,-3.3700013160705566,1,49,57
127,HO_127,016N012W09Q001M,7,227.91925850683594,228.55629050683595,228.28109964969306,0.22839795479408712,228.31854650683593,230.75999450683594,-4.2400054931640625,1,56,57
128,HO_128,016N012W16C001M,2,183.21404067578123,184.10710467578124,183.66057267578122,0.4465320000000048,183.66057267578122,220.92999267578125,-16.770008087158203,1,58,57
129,HO_129,017N012W33G001M,2,239.07024427246094,239.12815627246093,239.09920027246093,0.028955999999993765,239.09920027246093,244.77000427246094,153.6699981689453,1,43,57
130,HO_130,016N012W16N002M,11,202.41256610351562,203.6165261035156,202.96591664897016,0.42099602807462455,202.85452610351564,208.60000610351562,-39.899993896484375,1,62,55
131,HO_131,016N012W04D001M,8,213.93440867578124,224.97731267578126,221.21760467578127,3.815689720385556,222.05732867578126,231.17999267578125,33.17999267578125,0,47,55
132,HO_132,016N012W09E001M,3,210.92650705175782,211.5696350517578,211.23537105175782,0.26316949683426105,211.2099710517578,216.8000030517578,-28.59999656677246,0,53,55
133,HO_133,017N012W28M001M,11,231.42751633789064,238.31294833789062,235.973192701527,2.0804422418039006,236.98402033789063,239.83999633789062,140.33999633789062,0,40,54
134,HO_134,017N012W28M002M,7,234.45418033789062,238.03253233789061,236.6496111950335,1.3796730015788372,237.27358033789062,239.83999633789062,140.33999633789062,0,40,54
135,HO_135,016N012W16E001M,3,194.49042955859375,194.72207755859375,194.57374155859375,0.10515477293970134,194.50871755859376,208.55999755859375,-61.44000244140625,1,58,54
