name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
surfk_1_19,-3.60012,3.17474,-9.94961,2.74936,-3.60057,3.15694,-9.91444,2.71331
surfk_1_2,-3.6019,3.17474,-9.95139,2.74758,-3.6469,3.07754,-9.80199,2.50818
surfk_1_21,-3.60038,3.17474,-9.94986,2.74911,-3.6041,3.157,-9.9181,2.70991
surfk_1_3,-3.60014,3.17474,-9.94963,2.74934,-3.63443,3.15756,-9.94955,2.68069
surfk_1_4,-3.40178,3.17474,-9.75127,2.9477,-3.4613,3.15332,-9.76794,2.84535
surfk_1_5,-3.40304,3.17474,-9.75253,2.94644,-3.47698,3.01046,-9.49791,2.54394
surfk_1_6,-3.60207,3.17474,-9.95156,2.74741,-3.63731,3.15546,-9.94824,2.67362
surfk_1_8,-3.60255,3.17474,-9.95203,2.74694,-3.60299,3.15699,-9.91696,2.71098
surfk_1_9,-3.60197,3.17474,-9.95145,2.74752,-3.67415,2.94675,-9.56765,2.21936
surfk_2_1,-3.60025,3.17474,-9.94973,2.74924,-3.4998,2.26309,-8.02598,1.02639
surfk_2_10,-3.60009,3.17474,-9.94957,2.7494,-3.60803,3.1566,-9.92124,2.70518
surfk_2_11,-3.6002,3.17474,-9.94968,2.74929,-3.6361,3.15781,-9.95173,2.67953
