name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KS_51,-4.3385,1.92474,-8.18799,-0.489019,-4.3385,1.90515,-8.14881,-0.528195
KS_52,-1.46334,1.92474,-5.31282,2.38615,-1.46335,0.73029,-2.92393,-0.00276843
KS_53,0.694221,1.92474,-3.15526,4.54371,0.694221,1.92474,-3.15526,4.5437
KS_54,-1.75108,1.92474,-5.60056,2.09841,-1.75108,1.92474,-5.60056,2.0984
KS_55,1.3202,1.92474,-2.52929,5.16968,1.32018,1.74509,-2.16999,4.81036
KS_56,1.86236,1.92474,-1.98713,5.71184,1.86236,1.92473,-1.98711,5.71182
KS_57,0.77359,1.92474,-3.07589,4.62308,0.773581,1.89352,-3.01346,4.56062
KS_58,-0.508884,1.92474,-4.35837,3.3406,-0.508884,1.92469,-4.35826,3.34049
KS_59,-2.20439,1.92474,-6.05388,1.64509,-2.20438,0.760988,-3.72636,-0.682405
KS_6,2.35958,1.92474,-1.4899,6.20907,2.35958,1.73981,-1.12005,5.83921
KS_60,0.70288,1.92474,-3.1466,4.55237,0.70288,1.89599,-3.08911,4.49487
KS_61,-1.54611,1.92474,-5.3956,2.30337,-1.54611,1.92246,-5.39104,2.29882
KS_62,-0.556534,1.92474,-4.40602,3.29295,-0.556533,0.211947,-0.980426,-0.13264
KS_63,1.0242,1.92474,-2.82529,4.87368,1.0242,1.92474,-2.82528,4.87368
KS_64,-3.20914,1.92474,-7.05862,0.640345,-3.20914,1.92472,-7.05859,0.640308
KS_65,-2.72277,1.92474,-6.57225,1.12672,-2.72277,1.92448,-6.57173,1.12619
KS_66,0.742464,1.92474,-3.10702,4.59195,0.742464,1.92474,-3.10702,4.59195
KS_67,0.944548,1.92474,-2.90494,4.79403,0.94455,1.81853,-2.69251,4.58161
KS_68,-2.03455,1.92474,-5.88403,1.81494,-2.03455,1.91763,-5.86981,1.80072
KS_69,-0.131845,1.92474,-3.98133,3.71764,-0.131845,1.92278,-3.97741,3.71372
KS_7,-4.99207,1.92474,-8.84155,-1.14258,-4.99207,1.92471,-8.84148,-1.14265
KS_70,0.576382,1.92474,-3.2731,4.42587,0.576382,1.92468,-3.27297,4.42573
KS_71,-4.99388,1.92474,-8.84337,-1.1444,-4.99389,1.42519,-7.84427,-2.14351
KS_72,-4.05707,1.92474,-7.90655,-0.207584,-4.05707,1.92141,-7.89989,-0.21425
KS_73,-3.94779,1.92474,-7.79727,-0.0983006,-3.94779,1.92473,-7.79725,-0.0983185
KS_74,-4.03005,1.92474,-7.87954,-0.180565,-4.03005,1.92474,-7.87953,-0.180566
KS_75,-4.84882,1.92474,-8.6983,-0.999332,-4.84882,1.66939,-8.18759,-1.51005
KS_76,-3.71644,1.92474,-7.56593,0.133044,-3.71645,0.42565,-4.56775,-2.86515
KS_77,-3.99022,1.92474,-7.83971,-0.140739,-3.99022,1.92474,-7.83971,-0.140739
KS_78,-4.79082,1.92474,-8.6403,-0.941332,-4.79082,1.25359,-7.298,-2.28365
KS_79,-4.9991,1.92474,-8.84858,-1.14961,-4.9991,1.57553,-8.15015,-1.84805
KS_8,-5,1.92474,-8.84948,-1.15051,-5,1.91434,-8.82869,-1.17131
KS_80,2.41737,1.92474,-1.43212,6.26685,2.41737,1.41396,-0.410562,5.2453
KS_81,-4.04365,1.92474,-7.89313,-0.194165,-4.04365,1.92473,-7.89312,-0.19418
KS_82,1.36498,1.92474,-2.48451,5.21446,1.36501,1.71889,-2.07276,4.80278
KS_83,0.817777,1.92474,-3.03171,4.66726,0.817777,1.92474,-3.0317,4.66726
KS_84,-4.04332,1.92474,-7.89281,-0.19384,-4.04332,1.92474,-7.89281,-0.19384
KS_85,-4.88809,1.92474,-8.73757,-1.0386,-4.88809,1.92474,-8.73756,-1.03862
KS_86,-3.87852,1.92474,-7.728,-0.0290301,-3.87852,1.91879,-7.7161,-0.0409297
KS_87,2.69573,1.92474,-1.15376,6.54521,2.69897,1.40758,-0.116191,5.51413
KS_88,1.21681,1.92474,-2.63268,5.06629,1.21681,0.362217,0.492373,1.94124
KS_89,-4.09557,1.92474,-7.94505,-0.246083,-4.09557,1.92474,-7.94505,-0.246083
KS_9,0.916845,1.92474,-2.93264,4.76633,0.916844,1.28739,-1.65793,3.49162
KS_90,0.651666,1.92474,-3.19782,4.50115,0.651666,1.92474,-3.1978,4.50114
KS_91,1.16026,1.92474,-2.68923,5.00974,1.16026,1.91838,-2.6765,4.99702
KS_92,-3.94315,1.92474,-7.79264,-0.0936693,-3.94315,1.92474,-7.79264,-0.0936672
KS_93,-1.38206,1.92474,-5.23154,2.46743,-1.382,0.986322,-3.35464,0.590644
KS_94,-4.49537,1.92474,-8.34486,-0.645885,-4.49538,1.54087,-7.57711,-1.41364
KS_95,-3.99995,1.92474,-7.84943,-0.150464,-3.99995,1.92474,-7.84942,-0.150479
KS_96,-3.7621,1.92474,-7.61159,0.087383,-3.7621,1.92474,-7.61159,0.0873828
KS_98,-3.94085,1.92474,-7.79034,-0.0913672,-3.94085,1.92474,-7.79034,-0.0913672
KS_99,-3.97242,1.92474,-7.8219,-0.122935,-3.97242,1.92474,-7.8219,-0.122935
SFR_K_1,-1,1.92474,-4.84948,2.84949,-0.999999,1.72158,-4.44315,2.44315
SFR_K_10,-1,1.92474,-4.84948,2.84949,-0.999999,1.83161,-4.66322,2.66322
SFR_K_11,-1,1.92474,-4.84948,2.84949,-1,1.91689,-4.83379,2.83379
SFR_K_12,-1,1.92474,-4.84948,2.84949,-0.99993,1.07428,-3.14849,1.14863
SFR_K_13,-1,1.92474,-4.84948,2.84949,-1,1.91435,-4.82869,2.82869
SFR_K_14,-1.00491,1.92474,-4.85439,2.84458,-1.00491,1.50893,-4.02276,2.01295
SFR_K_15,-1,1.92474,-4.84949,2.84948,-0.999963,1.89,-4.77996,2.78003
SFR_K_16,-1,1.92474,-4.84948,2.84949,-0.999223,1.36837,-3.73597,1.73752
SFR_K_17,-1.00591,1.92474,-4.85539,2.84358,-1.00578,1.37159,-3.74895,1.7374
SFR_K_18,-1,1.92474,-4.84948,2.84949,-1,0.0734986,-1.147,-0.853004
SFR_K_19,-1,1.92474,-4.84949,2.84948,-1,1.91821,-4.83642,2.83641
SFR_K_2,-1,1.92474,-4.84948,2.84949,-1,0.0876656,-1.17533,-0.824672
SFR_K_20,-1,1.92474,-4.84948,2.84949,-1,1.92353,-4.84706,2.84706
SFR_K_21,-1,1.92474,-4.84948,2.84949,-1,1.86934,-4.73868,2.73868
SFR_K_22,-1.00146,1.92474,-4.85094,2.84803,-1.00145,1.0242,-3.04985,1.04696
SFR_K_3,-1.03621,1.92474,-4.8857,2.81327,-1.03621,1.92413,-4.88447,2.81205
SFR_K_4,-1,1.92474,-4.84948,2.84949,-1.00001,0.0526469,-1.1053,-0.894712
SFR_K_5,-1,1.92474,-4.84948,2.84949,-0.999997,1.87993,-4.75987,2.75987
SFR_K_6,-1,1.92474,-4.84948,2.84949,-0.999988,1.08055,-3.16108,1.16111
SFR_K_7,-1,1.92474,-4.84949,2.84948,-1,1.90776,-4.81552,2.81552
SFR_K_8,-1,1.92474,-4.84948,2.84949,-1,1.92474,-4.84948,2.84948
SFR_K_9,-1,1.92474,-4.84948,2.84949,-0.999999,1.91334,-4.82668,2.82668
SPILL_447,185.06,30,125.06,245.06,185.06,25.9061,133.248,236.872
SPILL_449,146.6,30,86.6,206.6,146.6,29.9999,86.6003,206.6
SURFK_1_1,-3.6,3.17474,-9.94949,2.74948,-3.6,2.98464,-9.56929,2.36929
