name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KS_150,0.85868,1.92474,-2.99081,4.70816,0.858719,1.92383,-2.98894,4.70638
KS_151,0.778577,1.92474,-3.07091,4.62806,0.778634,1.92389,-3.06914,4.62641
KS_152,-1.01077,1.92474,-4.86026,2.83871,-1.00881,1.89964,-4.80809,2.79047
KS_153,1.56963,1.92474,-2.27986,5.41911,1.57488,1.82863,-2.08239,5.23214
KS_155,-3.70827,1.92474,-7.55776,0.141213,-3.70826,1.92355,-7.55536,0.138843
KS_156,-0.732786,1.92474,-4.58227,3.1167,-0.732713,1.64555,-4.0238,2.55838
KS_157,-0.718995,1.92474,-4.56848,3.13049,-0.719264,1.24824,-3.21574,1.77721
KS_158,-0.204177,1.92474,-4.05366,3.64531,-0.204345,1.91985,-4.04404,3.63535
KS_159,-1.57221,1.92474,-5.4217,2.27727,-1.57203,1.92006,-5.41215,2.26809
KS_16,2.69897,1.92474,-1.15051,6.54846,2.69709,1.81783,-0.938577,6.33275
KS_160,0.0130104,1.92474,-3.83647,3.8625,0.0143328,1.91061,-3.80689,3.83555
KS_161,2.44756,1.92474,-1.40193,6.29704,2.53829,1.34435,-0.150408,5.22698
KS_162,-0.72894,1.92474,-4.57842,3.12055,-0.728953,1.90483,-4.53862,3.08071
KS_163,-1.16244,1.92474,-5.01193,2.68704,-1.16256,1.92448,-5.01151,2.68639
KS_164,-1.26336,1.92474,-5.11285,2.58612,-1.26337,1.92456,-5.1125,2.58575
KS_165,0.793435,1.92474,-3.05605,4.64292,0.794146,1.74648,-2.69881,4.2871
KS_166,-1.80547,1.92474,-5.65495,2.04402,-1.80539,1.92145,-5.64829,2.03751
KS_167,-1.42039,1.92474,-5.26988,2.42909,-1.42176,1.92168,-5.26512,2.42161
KS_168,-0.901611,1.92474,-4.7511,2.94787,-0.911498,0.873665,-2.65883,0.835833
KS_169,-3.57936,1.92474,-7.42884,0.270127,-3.58129,1.91532,-7.41193,0.249359
KS_170,-2.69168,1.92474,-6.54116,1.15781,-2.69164,1.92389,-6.53941,1.15613
KS_171,0.037004,1.92474,-3.81248,3.88649,0.0345206,1.92346,-3.81241,3.88145
KS_172,-1.71675,1.92474,-5.56623,2.13274,-1.71877,1.91895,-5.55667,2.11914
KS_175,-0.902482,1.92474,-4.75197,2.947,-0.902452,1.92388,-4.75022,2.94531
KS_177,0.0447936,1.92474,-3.80469,3.89428,0.0448214,1.92268,-3.80053,3.89017
KS_178,-3.69719,1.92474,-7.54668,0.152292,-3.69716,1.92389,-7.54493,0.150618
KS_179,0.316114,1.92474,-3.53337,4.1656,0.310493,1.72335,-3.13622,3.7572
KS_18,0.40259,1.92474,-3.44689,4.25208,0.402742,1.91182,-3.42091,4.22639
KS_181,-0.501248,1.92474,-4.35073,3.34824,-0.50822,1.55318,-3.61458,2.59814
KS_182,0.686011,1.92474,-3.16347,4.5355,0.686074,1.92386,-3.16164,4.53379
KS_183,-0.0164741,1.92474,-3.86596,3.83301,-0.0164615,1.9239,-3.86426,3.83134
KS_184,-3.39416,1.92474,-7.24365,0.455323,-3.39287,1.54104,-6.47495,-0.310796
KS_185,-4.01954,1.92474,-7.86903,-0.170057,-4.0195,1.92386,-7.86721,-0.171782
KS_186,-4.00745,1.92474,-7.85693,-0.157961,-4.00741,1.92389,-7.85518,-0.159636
KS_188,-3.40486,1.92474,-7.25435,0.444624,-3.40465,1.91813,-7.24091,0.431611
